familyId,familyLabel,numDescendants,descendantId,descendantLabel
C0004364,Autoimmune disease,269,C0271766,Toxic diffuse goiter with thyrotoxic crisis
C0004364,Autoimmune disease,269,C1274168,Pemphigus paraneoplastica
C0004364,Autoimmune disease,269,C0271765,Toxic diffuse goiter with exophthalmos AND with thyrotoxic storm
C0004364,Autoimmune disease,269,C0406640,Sclerodermiform reaction
C0004364,Autoimmune disease,269,C0451842,Systemic sclerosis induced by drugs and chemicals
C0004364,Autoimmune disease,269,C0406647,Pemphigus vegetans of Neumann type
C0004364,Autoimmune disease,269,C1532654,Drug-induced cicatricial pemphigoid
C0004364,Autoimmune disease,269,C0406634,Lupus erythematosus migrans
C0004364,Autoimmune disease,269,C0002880,Autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0272285,Heparin-induced thrombocytopenia
C0004364,Autoimmune disease,269,C1274840,Discoid lupus erythematosus of mucous membranes
C0004364,Autoimmune disease,269,C1264005,Secondary warm autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C1364022,Systemic lupus erythematosus-related syndrome
C0004364,Autoimmune disease,269,C1274843,Discoid lupus erythematosus of scalp
C0004364,Autoimmune disease,269,C1274858,Lupus erythematosus-associated nail dystrophy
C0004364,Autoimmune disease,269,C0342508,Autoimmune primary ovarian failure
C0004364,Autoimmune disease,269,C0395947,Autoimmune disorder of inner ear
C0004364,Autoimmune disease,269,C1274842,Discoid lupus erythematosus of genital mucous membranes
C0004364,Autoimmune disease,269,C0271865,Autoimmune hypoparathyroidism
C0004364,Autoimmune disease,269,C1282359,Ocular cicatricial pemphigoid
C0004364,Autoimmune disease,269,C1304227,Oral mucosal involvement by dermatitis herpetiformis
C0004364,Autoimmune disease,269,C1274162,Occupational scleroderma
C0004364,Autoimmune disease,269,C0271782,Toxic diffuse goiter with pretibial myxedema
C0004364,Autoimmune disease,269,C0271783,Graves' disease with pretibial myxedema AND with thyrotoxic crisis
C0004364,Autoimmune disease,269,C0271784,Toxic diffuse goiter with acropachy
C0004364,Autoimmune disease,269,C0271785,Graves' disease with acropachy AND with thyrotoxic crisis
C0004364,Autoimmune disease,269,C0206138,CREST syndrome
C0004364,Autoimmune disease,269,C0543663,Secondary autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0026272,Connective tissue disease overlap syndrome
C0004364,Autoimmune disease,269,C0406632,Autoimmune skin disease
C0004364,Autoimmune disease,269,C1258104,"Systemic sclerosis, diffuse"
C0004364,Autoimmune disease,269,C0263315,Malignant pemphigus
C0004364,Autoimmune disease,269,C1998346,Autoimmune sensorineural hearing loss
C0004364,Autoimmune disease,269,C0030327,Lupus panniculitis
C0004364,Autoimmune disease,269,C0263316,Pemphigus vegetans
C0004364,Autoimmune disease,269,C0406633,Lupus erythematosus chronicus
C0004364,Autoimmune disease,269,C1264008,Chronic cold agglutinin disease
C0004364,Autoimmune disease,269,C1409566,Systemic sclerosis due to chemical
C0004364,Autoimmune disease,269,C0030804,Benign mucous membrane pemphigoid
C0004364,Autoimmune disease,269,C0030805,Pemphigoid
C0004364,Autoimmune disease,269,C1274841,Discoid lupus erythematosus of oral mucosa
C0004364,Autoimmune disease,269,C0406635,Lupus erythematosus nodularis
C0004364,Autoimmune disease,269,C0406636,Lupus erythematosus tumidus
C0004364,Autoimmune disease,269,C1264007,Cold agglutinin disease due to Epstein-Barr virus infection
C0004364,Autoimmune disease,269,C1274845,Discoid lupus erythematosus of lip
C0004364,Autoimmune disease,269,C1274844,Discoid lupus erythematosus of face
C0004364,Autoimmune disease,269,C1274847,Discoid lupus erythematosus of foot
C0004364,Autoimmune disease,269,C1264003,Primary (idiopathic) autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0343207,Postinfective Henoch-Sch̦nlein purpura
C0004364,Autoimmune disease,269,C0272292,Acute idiopathic thrombocytopenic purpura
C0004364,Autoimmune disease,269,C0272112,Autoimmune hemolytic anemia due to IgG
C0004364,Autoimmune disease,269,C0272113,Autoimmune hemolytic anemia due to IgG plus complement
C0004364,Autoimmune disease,269,C0272114,Autoimmune hemolytic anemia due to complement
C0004364,Autoimmune disease,269,C0272115,Autoimmune hemolytic anemia due to IgA
C0004364,Autoimmune disease,269,C0272116,Autoimmune hemolytic anemia due to IgA plus complement
C0004364,Autoimmune disease,269,C0272117,Autoimmune hemolytic anemia due to IgM
C0004364,Autoimmune disease,269,C1527336,Sj̦gren's syndrome
C0004364,Autoimmune disease,269,C0030809,Pemphigus vulgaris
C0004364,Autoimmune disease,269,C0263313,Pemphigus foliaceus
C0004364,Autoimmune disease,269,C0342340,Autoimmune parathyroiditis
C0004364,Autoimmune disease,269,C0391817,Drug-induced autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0554476,Benign mucous membrane pemphigoid with no eye involvement
C0004364,Autoimmune disease,269,C1274294,Acute hemorrhagic edema of childhood
C0004364,Autoimmune disease,269,C1304225,Oral mucous membrane involvement by bullous pemphigoid
C0004364,Autoimmune disease,269,C1096070,Drug-induced immune hemolytic anemia
C0004364,Autoimmune disease,269,C0271813,Fibrous autoimmune thyroiditis
C0004364,Autoimmune disease,269,C0521513,Systemic lupus erythematosus arthritis
C0004364,Autoimmune disease,269,C0152092,Juvenile dermatitis herpetiformis
C0004364,Autoimmune disease,269,C0011608,Dermatitis herpetiformis
C0004364,Autoimmune disease,269,C0085409,Autoimmune polyendocrinopathy
C0004364,Autoimmune disease,269,C0272118,Warm autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0341009,Oral pemphigus vulgaris
C0004364,Autoimmune disease,269,C0272119,Hemolytic anemia associated with lymphoproliferative disorder
C0004364,Autoimmune disease,269,C0403527,Acute scleroderma renal crisis
C0004364,Autoimmune disease,269,C0580181,Benign lymphocytic infiltration of Jessner
C0004364,Autoimmune disease,269,C0271767,Neonatal Graves' disease
C0004364,Autoimmune disease,269,C1532671,Ocular myasthenia with strabismus
C0004364,Autoimmune disease,269,C0409999,Undifferentiated connective tissue disease
C0004364,Autoimmune disease,269,C1304224,Pemphigoid nodularis
C0004364,Autoimmune disease,269,C1274838,Hypertrophic type discoid lupus erythematosus
C0004364,Autoimmune disease,269,C1274839,Rosaceous type discoid lupus erythematosus
C0004364,Autoimmune disease,269,C1274834,Systemic lupus erythematosus of childhood
C0004364,Autoimmune disease,269,C1274835,"Subacute cutaneous lupus erythematosus, annular/polycyclic type"
C0004364,Autoimmune disease,269,C1274836,"Subacute cutaneous lupus erythematosus, papulosquamous type"
C0004364,Autoimmune disease,269,C0409993,Scleroderma with multisystem involvement
C0004364,Autoimmune disease,269,C1264012,"Autoimmune hemolytic anemia, categorized by antibody class AND/OR complement"
C0004364,Autoimmune disease,269,C0157721,Benign mucous membrane pemphigoid with ocular involvement
C0004364,Autoimmune disease,269,C1264010,Paroxysmal cold hemoglobinuria associated with tertiary syphilis
C0004364,Autoimmune disease,269,C0549199,Juvenile pemphigoid
C0004364,Autoimmune disease,269,C0263665,"Keratoconjunctivitis sicca, in Sj̦gren's syndrome"
C0004364,Autoimmune disease,269,C0086774,Paroxysmal cold hemoglobinuria
C0004364,Autoimmune disease,269,C1274848,Disseminated discoid lupus erythematosus
C0004364,Autoimmune disease,269,C0406797,Herpes gestationis with postnatal complication
C0004364,Autoimmune disease,269,C0036421,Systemic sclerosis
C0004364,Autoimmune disease,269,C0339904,Lung disease with systemic sclerosis
C0004364,Autoimmune disease,269,C0339907,Lung disease with Sj̦gren's disease
C0004364,Autoimmune disease,269,C0406796,Herpes gestationis - not delivered
C0004364,Autoimmune disease,269,C0751340,Ocular myasthenia
C0004364,Autoimmune disease,269,C0014077,Acute hemorrhagic leukoencephalitis
C0004364,Autoimmune disease,269,C1264004,Primary (idiopathic) warm autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0343102,Sclerodermatomyositis
C0004364,Autoimmune disease,269,C0406798,Transplacental herpes gestationis
C0004364,Autoimmune disease,269,C0272126,Evans syndrome
C0004364,Autoimmune disease,269,C0409983,Secondary antiphospholipid syndrome
C0004364,Autoimmune disease,269,C0024143,SLE glomerulonephritis syndrome
C0004364,Autoimmune disease,269,C0342123,Thyrotoxicosis due to Graves' disease
C0004364,Autoimmune disease,269,C0024141,Systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0342125,Hashitoxicosis - transient
C0004364,Autoimmune disease,269,C0342124,Hyperthyroidism with Hashimoto disease
C0004364,Autoimmune disease,269,C0409985,Secondary antiphospholipid syndrome with multisystem involvement
C0004364,Autoimmune disease,269,C0271893,Autoimmune pancytopenia
C0004364,Autoimmune disease,269,C0272136,"Drug-induced immune hemolytic anemia, immune complex type"
C0004364,Autoimmune disease,269,C0342410,Autoimmune hypophysitis
C0004364,Autoimmune disease,269,C0272134,Hapten type low affinity hemolytic anemia
C0004364,Autoimmune disease,269,C0264514,Lupus disease of the lung
C0004364,Autoimmune disease,269,C0272133,Hapten type high affinity hemolytic anemia
C0004364,Autoimmune disease,269,C0272130,Post-viral paroxysmal cold hemoglobinuria
C0004364,Autoimmune disease,269,C0272131,Secondary paroxysmal cold hemoglobinuria
C0004364,Autoimmune disease,269,C0085859,"Polyglandular autoimmune syndrome, type 1"
C0004364,Autoimmune disease,269,C0342552,Autoimmune endocrine disease
C0004364,Autoimmune disease,269,C0030807,Pemphigus
C0004364,Autoimmune disease,269,C0026896,Myasthenia gravis
C0004364,Autoimmune disease,269,C1274167,IgA pemphigus
C0004364,Autoimmune disease,269,C0339143,Thyroid eye disease
C0004364,Autoimmune disease,269,C1321435,Lymphoepithelial sialadenitis of Sj̦gren's syndrome
C0004364,Autoimmune disease,269,C0393945,Myasthenia gravis associated with thymoma
C0004364,Autoimmune disease,269,C1283819,Pemphigus minor
C0004364,Autoimmune disease,269,C0393941,Persistent neonatal myasthenia gravis
C0004364,Autoimmune disease,269,C0677606,Lymphadenoid goiter
C0004364,Autoimmune disease,269,C0393943,Transient neonatal myasthenia
C0004364,Autoimmune disease,269,C0393942,Juvenile or adult myasthenia gravis
C0004364,Autoimmune disease,269,C0519055,Renal involvement in scleroderma
C0004364,Autoimmune disease,269,C0267807,Lupus hepatitis
C0004364,Autoimmune disease,269,C0085278,Antiphospholipid syndrome
C0004364,Autoimmune disease,269,C0085860,"Polyglandular autoimmune syndrome, type 2"
C0004364,Autoimmune disease,269,C1264011,"Drug-induced immune hemolytic anemia, hapten type"
C0004364,Autoimmune disease,269,C0521471,Rash of systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0920350,Autoimmune thyroiditis
C0004364,Autoimmune disease,269,C0472755,Secondary warm-type hemolytic anemia
C0004364,Autoimmune disease,269,C0472756,Primary warm-type hemolytic anemia
C0004364,Autoimmune disease,269,C0472757,Maternal autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C0263310,Hydroa herpetiformis
C0004364,Autoimmune disease,269,C0263311,Senile dermatitis herpetiformis
C0004364,Autoimmune disease,269,C0472752,Primary cold-type hemolytic anemia
C0004364,Autoimmune disease,269,C0472753,Secondary cold-type hemolytic anemia
C0004364,Autoimmune disease,269,C0272129,Idiopathic paroxysmal cold hemoglobinuria
C0004364,Autoimmune disease,269,C0272128,Idiopathic chronic cold agglutinin disease
C0004364,Autoimmune disease,269,C1304226,Brunsting-Perry type cicatricial pemphigoid
C0004364,Autoimmune disease,269,C0342158,Autoimmune hypothyroidism
C0004364,Autoimmune disease,269,C0342159,Hypothyroidism due to Hashimoto's thyroiditis
C0004364,Autoimmune disease,269,C0472367,Generalized myasthenia
C0004364,Autoimmune disease,269,C0272121,Hemolytic anemia associated with systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0272120,Hemolytic anemia associated with rheumatic disorder
C0004364,Autoimmune disease,269,C0263312,Pemphigus erythematosus
C0004364,Autoimmune disease,269,C1264030,Secondary autoimmune thrombocytopenia
C0004364,Autoimmune disease,269,C0272125,Hemolytic anemia associated with ulcerative colitis
C0004364,Autoimmune disease,269,C0272124,Hemolytic anemia associated with chronic inflammatory disease
C0004364,Autoimmune disease,269,C0677607,Hashimoto thyroiditis
C0004364,Autoimmune disease,269,C0272293,Chronic idiopathic thrombocytopenic purpura
C0004364,Autoimmune disease,269,C1274953,Drug-induced pemphigus foliaceus
C0004364,Autoimmune disease,269,C1274952,Drug-induced pemphigus vulgaris
C0004364,Autoimmune disease,269,C1274951,Drug-induced bullous pemphigoid
C0004364,Autoimmune disease,269,C1304229,Oral mucosal involvement by linear IgA disease
C0004364,Autoimmune disease,269,C1304228,Cicatrizing conjunctivitis due to linear IgA disease
C0004364,Autoimmune disease,269,C1274955,Drug-induced linear IgA disease
C0004364,Autoimmune disease,269,C0409982,Primary antiphospholipid syndrome with multisystem involvement
C0004364,Autoimmune disease,269,C0270941,"Myasthenia gravis, adult form"
C0004364,Autoimmune disease,269,C0270940,"Myasthenia gravis, juvenile form"
C0004364,Autoimmune disease,269,C0406637,Lupus erythematosus and erythema multiforme-like syndrome
C0004364,Autoimmune disease,269,C0270942,Myasthenic crisis
C0004364,Autoimmune disease,269,C1304221,Eosinophilic spongiosis (prebullous pemphigus)
C0004364,Autoimmune disease,269,C0409981,Primary antiphospholipid syndrome with organ/system involvement
C0004364,Autoimmune disease,269,C1304223,Localized bullous pemphigoid of vulva
C0004364,Autoimmune disease,269,C1304222,Eosinophilic spongiosis (prebullous pemphigoid)
C3532523,Hypersensitivity condition,460,C0406261,Oil contact dermatitis
C3532523,Hypersensitivity condition,460,C0406260,Grease contact dermatitis
C3532523,Hypersensitivity condition,460,C0406269,Contact dermatitis due to caustics
C3532523,Hypersensitivity condition,460,C0406268,Elastoplast contact dermatitis
C3532523,Hypersensitivity condition,460,C1320547,Allergic otitis externa
C3532523,Hypersensitivity condition,460,C0033860,Psoriasis
C3532523,Hypersensitivity condition,460,C0339165,Perennial allergic conjunctivitis
C3532523,Hypersensitivity condition,460,C0339164,Seasonal allergic conjunctivitis
C3532523,Hypersensitivity condition,460,C0158982,Neonatal myasthenia gravis
C3532523,Hypersensitivity condition,460,C0263274,Contact dermatitis due to cereal
C3532523,Hypersensitivity condition,460,C0003872,Psoriasis with arthropathy
C3532523,Hypersensitivity condition,460,C0406319,Psoriasis-eczema overlap condition
C3532523,Hypersensitivity condition,460,C0406318,Unstable psoriasis
C3532523,Hypersensitivity condition,460,C0406313,Psoriasis diffusa
C3532523,Hypersensitivity condition,460,C1262954,Psoriasis universalis
C3532523,Hypersensitivity condition,460,C0406316,Psoriasis inveterata
C3532523,Hypersensitivity condition,460,C0406315,Psoriasis gyrata
C3532523,Hypersensitivity condition,460,C0406314,Psoriasis geographica
C3532523,Hypersensitivity condition,460,C0920064,Alloimmune platelet transfusion refractoriness
C3532523,Hypersensitivity condition,460,C0271294,Chronic allergic conjunctivitis
C3532523,Hypersensitivity condition,460,C0393929,Familial infantile myasthenia
C3532523,Hypersensitivity condition,460,C0393928,Genetically determined myasthenia
C3532523,Hypersensitivity condition,460,C0028796,Occupational allergic contact dermatitis
C3532523,Hypersensitivity condition,460,C0009769,Giant papillary conjunctivitis
C3532523,Hypersensitivity condition,460,C0162451,Contact dermatitis due to poison ivy
C3532523,Hypersensitivity condition,460,C0009766,Atopic conjunctivitis
C3532523,Hypersensitivity condition,460,C0406387,Lichenoid allergic contact dermatitis
C3532523,Hypersensitivity condition,460,C1328962,Allergy to tree pollen
C3532523,Hypersensitivity condition,460,C1285168,Antibody-mediated activation and inactivation
C3532523,Hypersensitivity condition,460,C1285169,Antibody-mediated cytolysis
C3532523,Hypersensitivity condition,460,C0004681,Bagassosis
C3532523,Hypersensitivity condition,460,C0401143,Allergic gastroenteritis and colitis
C3532523,Hypersensitivity condition,460,C0401142,Allergic enterocolitis
C3532523,Hypersensitivity condition,460,C0684898,Allergic rhinitis due to tree pollens
C3532523,Hypersensitivity condition,460,C0684899,Allergic rhinitis due to grass pollens
C3532523,Hypersensitivity condition,460,C0151726,Injection site hypersensitivity
C3532523,Hypersensitivity condition,460,C0272193,Allergic eosinophilia
C3532523,Hypersensitivity condition,460,C0269089,Allergic vulvitis
C3532523,Hypersensitivity condition,460,C0269080,Allergic vaginitis
C3532523,Hypersensitivity condition,460,C0263217,Pustular bacterid
C3532523,Hypersensitivity condition,460,C0263216,Bacterid
C3532523,Hypersensitivity condition,460,C1304185,Anaphylaxis secondary to bite and/or sting
C3532523,Hypersensitivity condition,460,C0413241,Aspirin-induced angioedema-urticaria
C3532523,Hypersensitivity condition,460,C0413240,NSAID-induced angioedema-urticaria
C3532523,Hypersensitivity condition,460,C0409682,Psoriatic arthritis with distal interphalangeal joint involvement
C3532523,Hypersensitivity condition,460,C0409683,Psoriatic dactylitis
C3532523,Hypersensitivity condition,460,C1304180,Allergic urticaria due to bite and/or sting
C3532523,Hypersensitivity condition,460,C0395833,Chronic allergic otitis externa
C3532523,Hypersensitivity condition,460,C1304181,Allergic urticaria due to inhaled allergen
C3532523,Hypersensitivity condition,460,C3532523,Hypersensitivity condition
C3532523,Hypersensitivity condition,460,C0264483,Bovine allergic alveolitis
C3532523,Hypersensitivity condition,460,C0684344,Contact dermatitis due to chromium
C3532523,Hypersensitivity condition,460,C1720444,Non-IgE-mediated allergic disorder
C3532523,Hypersensitivity condition,460,C1719774,Nonallergic hypersensitivity disorder
C3532523,Hypersensitivity condition,460,C1276111,Psoriasis of perianal skin
C3532523,Hypersensitivity condition,460,C1276110,Psoriasis of penis
C3532523,Hypersensitivity condition,460,C1276112,Psoriasis of face
C3532523,Hypersensitivity condition,460,C1290047,Generalized exfoliative contact dermatitis
C3532523,Hypersensitivity condition,460,C1304104,Stoma-related chronic papillomatous dermatitis
C3532523,Hypersensitivity condition,460,C1304105,Contact with irritant as co-factor in hand eczema
C3532523,Hypersensitivity condition,460,C1304106,Contact with irritant as co-factor in eczema
C3532523,Hypersensitivity condition,460,C1304100,Irritant contact dermatitis due to ileostomy
C3532523,Hypersensitivity condition,460,C1304101,Irritant contact dermatitis due to colostomy
C3532523,Hypersensitivity condition,460,C1304102,Irritant contact dermatitis due to urostomy
C3532523,Hypersensitivity condition,460,C1304103,Chronic papillomatous dermatitis due to urostomy
C3532523,Hypersensitivity condition,460,C1304338,Lichenoid allergic contact reaction
C3532523,Hypersensitivity condition,460,C0031903,Pigeon-fanciers' disease
C3532523,Hypersensitivity condition,460,C0149526,Allergic urticaria
C3532523,Hypersensitivity condition,460,C1688647,Allergy to ragweed pollen
C3532523,Hypersensitivity condition,460,C0267419,Allergic gastroenteritis
C3532523,Hypersensitivity condition,460,C0340061,Extrinsic asthma with asthma attack
C3532523,Hypersensitivity condition,460,C0152081,Pustular psoriasis
C3532523,Hypersensitivity condition,460,C1504369,Allergic disorder of respiratory system
C3532523,Hypersensitivity condition,460,C0878694,Allergic rhinitis due to food
C3532523,Hypersensitivity condition,460,C0035457,Perennial allergic rhinitis
C3532523,Hypersensitivity condition,460,C0409674,Juvenile psoriatic arthritis without psoriasis
C3532523,Hypersensitivity condition,460,C1827548,Non-IgE mediated allergic asthma
C3532523,Hypersensitivity condition,460,C0162820,Allergic contact dermatitis
C3532523,Hypersensitivity condition,460,C0339812,Perennial allergic rhinitis with seasonal variation
C3532523,Hypersensitivity condition,460,C0342553,Juvenile Graves' disease
C3532523,Hypersensitivity condition,460,C0264451,Weavers' cough
C3532523,Hypersensitivity condition,460,C0162823,Irritant contact dermatitis
C3532523,Hypersensitivity condition,460,C0451933,"Irritant contact dermatitis due to plants, except food"
C3532523,Hypersensitivity condition,460,C0451932,Irritant contact dermatitis due to food in contact with the skin
C3532523,Hypersensitivity condition,460,C0451931,Irritant contact dermatitis due to drugs in contact with the skin
C3532523,Hypersensitivity condition,460,C0451930,Irritant contact dermatitis due to cosmetics
C3532523,Hypersensitivity condition,460,C0001309,Acute atopic conjunctivitis
C3532523,Hypersensitivity condition,460,C1276109,Psoriasis of vulva
C3532523,Hypersensitivity condition,460,C0263255,Contact dermatitis due to keratolytics
C3532523,Hypersensitivity condition,460,C0263254,Contact dermatitis due to iodine
C3532523,Hypersensitivity condition,460,C0263257,Contact dermatitis due to neomycin
C3532523,Hypersensitivity condition,460,C0263256,Contact dermatitis due to mercurial
C3532523,Hypersensitivity condition,460,C0263251,Contact dermatitis due to drugs AND/OR medicine
C3532523,Hypersensitivity condition,460,C0263250,Contact dermatitis due to ketone
C3532523,Hypersensitivity condition,460,C0263253,Contact dermatitis due to fungicide
